model,release_cv,metric,ratio_of_means,median_paired_ratio,ci95_low,ci95_high
Linear,0.0,peak_km,1.0,1.0,1.0,1.0
Linear,0.0,auc_km_ms,1.0,1.0,1.0,1.0
Linear,0.0,excess_auc_km_ms,,,,
Linear,0.0,clearance_ms,1.0,1.0,1.0,1.0
Linear,0.15,peak_km,1.0,1.0,1.0,1.0
Linear,0.15,auc_km_ms,1.0,1.0,1.0,1.0
Linear,0.15,excess_auc_km_ms,1.0,1.0,1.0,1.0
Linear,0.15,clearance_ms,1.0,1.0,1.0,1.0
Michaelis-Menten,0.0,peak_km,1.0,1.0,1.0,1.0
Michaelis-Menten,0.0,auc_km_ms,1.0,1.0,1.0,1.0
Michaelis-Menten,0.0,excess_auc_km_ms,,,,
Michaelis-Menten,0.0,clearance_ms,1.0,1.0,1.0,1.0
Michaelis-Menten,0.15,peak_km,1.0,1.0,1.0,1.0
Michaelis-Menten,0.15,auc_km_ms,1.0,1.0,1.0,1.0
Michaelis-Menten,0.15,excess_auc_km_ms,1.0,1.0,1.0,1.0
Michaelis-Menten,0.15,clearance_ms,1.0,1.0,1.0,1.0
Transporter-state,0.0,peak_km,1.0,1.0,1.0,1.0
Transporter-state,0.0,auc_km_ms,1.199301241232663,1.1993012412326627,1.1993012412326627,1.1993012412326627
Transporter-state,0.0,excess_auc_km_ms,,,,
Transporter-state,0.0,clearance_ms,1.318181818181818,1.3181818181818181,1.3181818181818181,1.3181818181818181
Transporter-state,0.15,peak_km,1.0,1.0,1.0,1.0000000000000002
Transporter-state,0.15,auc_km_ms,1.2059912691180315,1.2047608776086864,1.1766192985870718,1.2412439498753596
Transporter-state,0.15,excess_auc_km_ms,1.0981110107324699,1.0864841597623243,0.9966452597503576,1.1740876201117179
Transporter-state,0.15,clearance_ms,1.333953823520581,1.318382944489139,1.2362419958922315,1.4655314176908425
