run,model,pattern,release_cv,isi_cv,minimum_isi_ms,gamma_shape,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
0,Linear,Renewal,0.0,0.4373964180256682,9.743312116974607,4.366553919144421,0.2500000000005667,1.8667690465374913,1.1334266858398223e-14,1.68,1.0
1,Linear,Renewal,0.0,0.3143233379721969,21.35352528053511,10.344664176519332,0.25,1.8667690465374907,0.0,1.68,1.0
2,Linear,Renewal,0.0,0.6915036063543752,1.4713770103440993,1.359438875463458,0.2542514798705803,1.8667690465374933,8.502963251805662e-05,1.68,1.0
3,Linear,Renewal,0.0,0.6714699769924649,4.124398465436457,0.8751977071777346,0.2500028080349073,1.8667690465374915,5.618457819878131e-08,1.68,1.0
4,Linear,Renewal,0.0,0.3636245662593633,18.157247552927174,7.360424764993094,0.25,1.8667690465374907,0.0,1.68,1.0
5,Linear,Renewal,0.0,0.6229155264771568,6.284596519882371,1.8686017646896391,0.25000000776150455,1.866769046537492,1.8499137333094497e-10,1.68,1.0
6,Linear,Renewal,0.0,1.4216624813538699,2.5947952053684276e-07,0.32661556373018363,0.75,1.8667690465375015,0.15235173443780575,1.7,1.0
7,Linear,Renewal,0.0,0.6916050233991563,3.831853609290846,2.0292749832576122,0.25000677603202126,1.8667690465374918,1.3552064085153858e-07,1.68,1.0
8,Linear,Renewal,0.0,1.1572233329314086,0.00019457159757507725,0.39929115969682927,0.5,1.8667690465374995,0.03446238242717737,1.68,1.0
9,Linear,Renewal,0.0,0.18958621019459532,27.162794514187908,17.261344808919283,0.25,1.8667690465374907,0.0,1.68,1.0
10,Linear,Renewal,0.0,0.9821817451558106,0.9547190339587814,1.1324826494060252,0.26879888000847246,1.866769046537498,0.0004639721964037158,1.68,1.0
11,Linear,Renewal,0.0,0.3269600145735561,22.341768834040124,7.921016694873923,0.25,1.8667690465374907,0.0,1.68,1.0
12,Linear,Renewal,0.0,0.3205595541531972,27.65797521801261,17.288908023615175,0.25,1.8667690465374907,0.0,1.68,1.0
13,Linear,Renewal,0.0,0.7746004802442048,6.686115711776381,1.3430129621814335,0.2500000025806537,1.8667690465374929,5.231738264832586e-11,1.68,1.0
14,Linear,Renewal,0.0,0.5243240435588337,8.358467850156103,3.0214866375982434,0.2500000000253059,1.866769046537493,5.620715004539534e-13,1.68,1.0
15,Linear,Renewal,0.0,0.28937772686317853,18.60933603622368,13.955061709704747,0.25,1.8667690465374907,0.0,1.68,1.0
16,Linear,Renewal,0.0,0.5148823622063518,16.722473474717845,4.491744180169275,0.25,1.8667690465374907,0.0,1.68,1.0
17,Linear,Renewal,0.0,0.36385674803096313,12.256146656199462,10.531960144246261,0.25000000000000056,1.8667690465374909,1.1102230246251566e-17,1.68,1.0
18,Linear,Renewal,0.0,0.7420817573652198,3.916115134129541,2.31381781667664,0.2500051454267929,1.8667690465374949,2.059810917021121e-07,1.68,1.0
19,Linear,Renewal,0.0,0.2645746179064715,23.40962864821914,11.609324083903266,0.25,1.8667690465374907,0.0,1.68,1.0
20,Linear,Renewal,0.0,0.15390959889059283,27.47851470760193,19.11782168434138,0.25,1.8667690465374907,0.0,1.68,1.0
21,Linear,Renewal,0.0,0.5301252625983632,13.431220331554073,2.9859273783124842,0.25,1.8667690465374907,0.0,1.68,1.0
22,Linear,Renewal,0.0,0.34853570766973985,22.0723781044631,6.892911899362079,0.25,1.8667690465374907,0.0,1.68,1.0
23,Linear,Renewal,0.0,0.7328901763053324,2.610877076414681,0.9731404322398319,0.2501843418757236,1.8667690465374904,3.686840000068914e-06,1.68,1.0
24,Linear,Renewal,0.0,1.111831209876153,1.745680279393298,0.717430325327797,0.25196692951952554,1.8667690465374904,6.33062269713458e-05,1.68,1.0
25,Linear,Renewal,0.0,1.4474744445600374,4.9171417401794315e-05,0.2413028237922718,0.7580474690673769,1.8667690465374913,0.14940071264160315,1.68,1.0
26,Linear,Renewal,0.0,1.7114077161489298,0.00017652001668011508,0.22516652920780514,0.75,1.8667690465375057,0.25466711835669853,1.68,1.0
27,Linear,Renewal,0.0,0.3907568417623869,19.540540975239367,7.828994550734572,0.25,1.8667690465374907,0.0,1.68,1.0
28,Linear,Renewal,0.0,1.0568518097063735,0.05981910111790967,0.7146645807291628,0.4619373896727398,1.8667690465374933,0.027916782225321825,1.68,1.0
29,Linear,Renewal,0.0,1.025254663434651,1.3769919388662402,1.5912935719312258,0.2555987899352766,1.866769046537497,0.0001136377372108166,1.68,1.0
30,Linear,Renewal,0.0,0.5115195325562735,11.340391361026931,1.677763858891833,0.25000000000000694,1.8667690465374907,1.3877787807814457e-16,1.68,1.0
31,Linear,Renewal,0.0,1.2448585783954231,0.2544672218311348,0.540940603483261,0.3791249891865643,1.866769046537504,0.019956695961721768,1.68,1.0
32,Linear,Renewal,0.0,2.1809187219317243,0.0026970110616275633,0.21858610182923116,0.5,1.8667690465375029,0.07991673404515276,1.68,1.0
33,Linear,Renewal,0.0,0.5064907466679964,8.656283432178427,4.459335914195467,0.2500000000110805,1.8667690465374922,2.99464897324242e-13,1.68,1.0
34,Linear,Renewal,0.0,1.3196067917466212,0.00020098583104299905,0.25212827584445435,0.5000033123401582,1.8667690465375029,0.06974493397373958,1.68,1.0
35,Linear,Renewal,0.0,0.3932050467642266,16.54256356502981,5.2965387115060185,0.25,1.8667690465374907,0.0,1.68,1.0
36,Linear,Renewal,0.0,0.33903641191264744,15.685968555639647,7.612017515028402,0.25,1.8667690465374907,0.0,1.68,1.0
37,Linear,Renewal,0.0,0.7624190445518394,3.8411447866566277,2.5892453531902464,0.2500064130502141,1.8667690465374902,1.3845565117964755e-07,1.68,1.0
38,Linear,Renewal,0.0,1.320413075107197,1.1546943733307558,0.6832693890005769,0.260424311063588,1.8667690465374955,0.00047031229213683633,1.68,1.0
39,Linear,Renewal,0.0,1.4647271796032857,5.663305512371153e-05,0.35202339236156566,0.5000000000326996,1.866769046537511,0.031900630293613556,1.68,1.0
40,Linear,Renewal,0.0,1.57144793142729,0.3716699653050455,0.27292938049689,0.3378283383382695,1.8667690465374955,0.010141686250263876,1.8,1.0
41,Linear,Renewal,0.0,1.5806319631837207,0.007896140063280654,0.30839739051659704,0.8268323920234779,1.8667690465375009,0.18154962793541912,1.9000000000000001,1.0
42,Linear,Renewal,0.0,0.3273441301171751,20.565973112475888,7.111159422987747,0.25,1.8667690465374907,0.0,1.68,1.0
43,Linear,Renewal,0.0,0.38498006430496784,14.26529269082721,2.4519902362323664,0.25,1.8667690465374907,0.0,1.68,1.0
44,Linear,Renewal,0.0,0.31569084957769655,23.045581031921984,9.349360033684817,0.25,1.8667690465374907,0.0,1.68,1.0
45,Linear,Renewal,0.0,2.204732333376619,0.0001292431211084022,0.248435256428552,0.7601355611629176,1.8667690465375073,0.17319671619350363,1.68,1.0
46,Linear,Renewal,0.0,1.6254591959894251,2.3573093358209007e-05,0.29070870343794547,0.5,1.8667690465375046,0.10561841388942034,1.94,1.0
47,Linear,Renewal,0.0,0.3446306241813222,20.942682545863818,9.242484196163316,0.25,1.8667690465374907,0.0,1.68,1.0
48,Linear,Renewal,0.0,0.5417739178649438,3.3445512186993938,2.390732266828562,0.25002540006749646,1.8667690465374915,5.080013499292324e-07,1.68,1.0
49,Linear,Renewal,0.0,0.862591365025895,3.7911590847339767,1.117647096962507,0.2500071595587779,1.8667690465374995,1.4939986847206655e-07,1.68,1.0
50,Linear,Renewal,0.0,0.3175312388826557,19.38859738566555,10.607722799831883,0.25,1.8667690465374907,0.0,1.68,1.0
51,Linear,Renewal,0.0,0.8710538004552403,0.2916100439061893,0.9877572084172499,0.36235742735828547,1.8667690465375015,0.00997077392341116,1.68,1.0
52,Linear,Renewal,0.0,0.235136338777705,24.29918550579157,14.73279628457698,0.25,1.8667690465374907,0.0,1.68,1.0
53,Linear,Renewal,0.0,1.3481186381037453,0.05604399085291334,0.37246366786169566,0.4619373896727398,1.8667690465374986,0.02962063352973011,1.68,1.0
54,Linear,Renewal,0.0,0.7006109426206124,8.289002794442581,2.483528804485915,0.2500000000315402,1.8667690465374938,6.381006834033087e-13,1.68,1.0
55,Linear,Renewal,0.0,0.7161373713770112,6.208965941174483,1.103298462731256,0.2500000096736229,1.8667690465374942,1.934835469619145e-10,1.68,1.0
56,Linear,Renewal,0.0,1.3374949723447753,0.39115496220449586,0.48282336096403905,0.33312350060013196,1.8667690465375,0.006053701203130146,1.68,1.0
57,Linear,Renewal,0.0,1.0682665299456957,1.672643846845972,0.6420059351262628,0.25259025692995113,1.8667690465374982,7.712914057465547e-05,1.68,1.0
