model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Linear,0.02,0.08,1.0000000000000007
Linear,0.024045288692348264,0.08,0.9999999999999971
Linear,0.02890879541491855,0.08,0.9999999999999984
Linear,0.03475601657498751,0.08,0.9999999999999917
Linear,0.0417859226170808,0.08,0.9999999999999959
Linear,0.050237728630191596,0.08,0.9999999999999978
Linear,0.06039903440804033,0.08,1.0000000000000024
Linear,0.07261561095402029,0.08,0.9999999999999903
Linear,0.08730316644803322,0.08,0.9999999999999932
Linear,0.10496149204995453,0.08,1.0000000000000033
Linear,0.1261914688960387,0.08,1.0000000000000007
Linear,0.15171551500583677,0.08,0.9999999999999974
Linear,0.18240216787118196,0.08,1.000000000000009
Linear,0.21929563922863704,0.08,1.000000000000004
Linear,0.2636513477112815,0.08,1.0000000000000024
Linear,0.3169786384922227,0.08,0.9999999999999921
Linear,0.38109214359264953,0.08,0.999999999999998
Linear,0.45817353055355475,0.08,0.9999999999999984
Linear,0.5508457406676333,0.08,1.0000000000000038
Linear,0.6622622429651823,0.08,0.9999999999999991
Linear,0.7962143411069947,0.08,1.0000000000000049
Linear,0.9572601846452766,0.08,1.0000000000000002
Linear,1.150879874674314,0.08,0.9999999999999853
Linear,1.3836619418378735,0.08,0.9999999999999991
Linear,1.663527542205342,0.08,0.9999999999999999
Linear,2.0,0.08,0.9999999999999997
Michaelis-Menten,0.02,0.08,1.0013571064067324
Michaelis-Menten,0.024045288692348264,0.08,1.0015195853847196
Michaelis-Menten,0.02890879541491855,0.08,1.001665495504365
Michaelis-Menten,0.03475601657498751,0.08,1.0017700384353776
Michaelis-Menten,0.0417859226170808,0.08,1.0017945280558571
Michaelis-Menten,0.050237728630191596,0.08,1.001680425693379
Michaelis-Menten,0.06039903440804033,0.08,1.0013416818111904
Michaelis-Menten,0.07261561095402029,0.08,1.000655864769356
Michaelis-Menten,0.08730316644803322,0.08,0.9994561383014777
Michaelis-Menten,0.10496149204995453,0.08,0.997529711151847
Michaelis-Menten,0.1261914688960387,0.08,0.9946353370416985
Michaelis-Menten,0.15171551500583677,0.08,0.9905630364416925
Michaelis-Menten,0.18240216787118196,0.08,0.9852659944054666
Michaelis-Menten,0.21929563922863704,0.08,0.97906838460882
Michaelis-Menten,0.2636513477112815,0.08,0.9728453604291999
Michaelis-Menten,0.3169786384922227,0.08,0.9679199195210872
Michaelis-Menten,0.38109214359264953,0.08,0.9655089097988508
Michaelis-Menten,0.45817353055355475,0.08,0.966055769713261
Michaelis-Menten,0.5508457406676333,0.08,0.9690642102188656
Michaelis-Menten,0.6622622429651823,0.08,0.9735174285306993
Michaelis-Menten,0.7962143411069947,0.08,0.9784119459305877
Michaelis-Menten,0.9572601846452766,0.08,0.9830464268798501
Michaelis-Menten,1.150879874674314,0.08,0.9870557624822152
Michaelis-Menten,1.3836619418378735,0.08,0.9903243613657885
Michaelis-Menten,1.663527542205342,0.08,0.9928823619164531
Michaelis-Menten,2.0,0.08,0.9948269539963782
Transporter-state,0.02,0.08,0.9963024169874035
Transporter-state,0.024045288692348264,0.08,0.9944796051195645
Transporter-state,0.02890879541491855,0.08,0.991171316065914
Transporter-state,0.03475601657498751,0.08,0.9861171181147173
Transporter-state,0.0417859226170808,0.08,0.9842173932856718
Transporter-state,0.050237728630191596,0.08,0.9865045211283864
Transporter-state,0.06039903440804033,0.08,0.9893237534507083
Transporter-state,0.07261561095402029,0.08,0.9918152517192542
Transporter-state,0.08730316644803322,0.08,0.9941314958593812
