run,model,pattern,release_cv,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
0,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
1,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
2,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
3,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
4,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
5,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
6,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
7,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
8,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
9,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
10,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
11,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
12,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
13,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
14,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
15,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
16,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
17,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
18,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
19,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
20,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
21,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
22,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
23,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
24,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
25,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
26,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
27,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
28,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
29,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
30,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
31,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
32,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
33,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
34,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
35,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
36,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
37,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
38,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
39,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
40,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
41,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
42,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
43,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
44,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
45,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
46,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
47,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
48,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
49,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
50,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
51,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
52,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
53,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
54,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
55,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
56,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
57,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
58,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
59,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
60,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
61,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
62,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
63,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
64,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
65,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
66,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
67,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
68,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
69,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
70,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
71,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
72,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
73,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
74,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
75,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
76,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
77,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
78,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
79,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
80,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
81,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
82,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
83,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
84,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
85,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
86,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
87,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
88,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
89,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
90,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
91,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
92,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
93,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
94,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
95,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
96,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
97,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
98,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
99,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
100,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
101,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
102,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
103,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
104,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
105,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
106,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
107,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
108,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
109,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
110,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
111,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
112,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
113,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
114,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
115,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
116,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
117,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
118,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
119,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
120,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
121,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
122,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
123,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
124,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
125,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
126,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
127,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
128,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
129,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
130,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
131,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
132,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
133,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
134,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
135,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
136,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
137,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
138,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
139,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
140,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
141,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
142,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
143,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
144,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
145,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
146,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
147,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
148,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
149,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
150,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
151,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
152,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
153,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
154,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
155,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
156,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
157,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
158,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
159,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
160,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
161,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
162,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
163,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
164,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
165,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
166,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
167,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
168,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
169,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
170,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
171,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
172,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
173,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
174,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
175,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
176,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
177,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
178,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
179,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
180,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
181,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
182,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
183,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
184,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
185,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
186,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
187,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
188,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
189,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
190,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
191,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
192,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
193,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
194,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
195,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
196,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
197,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
198,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
199,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
200,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
201,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
202,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
203,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
204,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
205,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
206,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
207,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
208,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
209,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
210,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
211,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
212,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
213,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
214,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
215,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
216,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
217,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
218,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
219,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
220,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
221,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
222,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
223,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
224,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
225,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
226,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
227,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
228,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
229,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
230,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
231,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
232,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
233,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
