model,pattern,release_cv,metric,mean,sd,ci95_low,ci95_high
Linear,Tonic,0.0,peak_km,0.25,0.0,0.25,0.25
Linear,Tonic,0.0,auc_km_ms,1.8667690465374904,2.224156070299059e-16,1.8667690465374904,1.8667690465374904
Linear,Tonic,0.0,excess_auc_km_ms,0.0,0.0,0.0,0.0
Linear,Tonic,0.0,clearance_ms,1.68,0.0,1.68,1.68
Linear,Tonic,0.0,minimum_free_fraction,1.0,0.0,1.0,1.0
Michaelis-Menten,Tonic,0.0,peak_km,0.25,0.0,0.25,0.25
Michaelis-Menten,Tonic,0.0,auc_km_ms,1.963909174252567,2.224156070299059e-16,1.963909174252567,1.963909174252567
Michaelis-Menten,Tonic,0.0,excess_auc_km_ms,0.0,0.0,0.0,0.0
Michaelis-Menten,Tonic,0.0,clearance_ms,1.6600000000000001,0.0,1.6600000000000001,1.6600000000000001
Michaelis-Menten,Tonic,0.0,minimum_free_fraction,1.0,0.0,1.0,1.0
Transporter-state,Tonic,0.0,peak_km,0.25,0.0,0.25,0.25
Transporter-state,Tonic,0.0,auc_km_ms,1.8526104814522804,0.0,1.8526104814522804,1.8526104814522804
Transporter-state,Tonic,0.0,excess_auc_km_ms,0.0,0.0,0.0,0.0
Transporter-state,Tonic,0.0,clearance_ms,2.1999999999999997,4.448312140598118e-16,2.1999999999999997,2.1999999999999997
Transporter-state,Tonic,0.0,minimum_free_fraction,0.5542665715124152,1.1120780351495294e-16,0.5542665715124152,0.5542665715124152
Linear,Poisson,0.0,peak_km,0.2829993183686805,0.057540313398701325,0.27648801894440134,0.2895106177929596
Linear,Poisson,0.0,auc_km_ms,1.8667690465374949,3.513744257579822e-15,1.8667690465374944,1.8667690465374953
Linear,Poisson,0.0,excess_auc_km_ms,0.0028232744770084525,0.006683027163372811,0.0020670187607805773,0.0035795301932363276
Linear,Poisson,0.0,clearance_ms,1.6837333333333333,0.0225334138118397,1.6811834375174481,1.6862832291492185
Linear,Poisson,0.0,minimum_free_fraction,1.0,0.0,1.0,1.0
Michaelis-Menten,Poisson,0.0,peak_km,0.28473449697754777,0.059832386658968444,0.2779638250469604,0.29150516890813516
Michaelis-Menten,Poisson,0.0,auc_km_ms,1.9674207011347555,0.006271855427888218,1.966710973880512,1.968130428388999
Michaelis-Menten,Poisson,0.0,excess_auc_km_ms,0.0037754971481542394,0.008919707204029893,0.002766137258507736,0.004784857037800743
Michaelis-Menten,Poisson,0.0,clearance_ms,1.6643333333333337,0.02787733922675248,1.66117871542919,1.6674879512374774
Michaelis-Menten,Poisson,0.0,minimum_free_fraction,1.0,0.0,1.0,1.0
Transporter-state,Poisson,0.0,peak_km,0.29565590504496186,0.06100866251960318,0.28875212497015784,0.3025596851197659
Transporter-state,Poisson,0.0,auc_km_ms,3.028078660720642,1.017871856528111,2.9128956170087004,3.1432617044325837
Transporter-state,Poisson,0.0,excess_auc_km_ms,0.02901708934434031,0.19059612321666478,0.007449107627394775,0.05058507106128585
Transporter-state,Poisson,0.0,clearance_ms,3.348666666666667,2.2488268711806243,3.0941879499770155,3.6031453833563183
Transporter-state,Poisson,0.0,minimum_free_fraction,0.12716437553440343,0.07478721092421847,0.11870140592803181,0.13562734514077504
Linear,Burst,0.0,peak_km,0.25,0.0,0.25,0.25
Linear,Burst,0.0,auc_km_ms,1.8667690465374904,2.224156070299059e-16,1.8667690465374904,1.8667690465374904
Linear,Burst,0.0,excess_auc_km_ms,0.0,0.0,0.0,0.0
Linear,Burst,0.0,clearance_ms,1.68,0.0,1.68,1.68
Linear,Burst,0.0,minimum_free_fraction,1.0,0.0,1.0,1.0
Michaelis-Menten,Burst,0.0,peak_km,0.25,0.0,0.25,0.25
Michaelis-Menten,Burst,0.0,auc_km_ms,1.963909174252567,2.224156070299059e-16,1.963909174252567,1.963909174252567
Michaelis-Menten,Burst,0.0,excess_auc_km_ms,0.0,0.0,0.0,0.0
Michaelis-Menten,Burst,0.0,clearance_ms,1.6600000000000001,0.0,1.6600000000000001,1.6600000000000001
Michaelis-Menten,Burst,0.0,minimum_free_fraction,1.0,0.0,1.0,1.0
Transporter-state,Burst,0.0,peak_km,0.25,0.0,0.25,0.25
