parameter_set,capacity_km,k_bind_per_km_ms,k_unbind_per_ms,k_translocate_per_ms,recovery_tau_ms,pulse_size_over_km,k_loss_per_ms,peak_ratio_burst_tonic,auc_ratio_burst_tonic,clearance_ratio_burst_tonic
0,1.2928235066962301,10.281295610038095,1.3641840568452275,5.756814297179521,48.01802750617297,0.513546735601796,0.00331185114262449,1.0,1.9557059967511918,4.759259259259259
1,0.8296789734617411,11.667899424061893,0.6094345448218805,5.783964424216002,10.657517085601015,0.061299561565981084,0.002932595512819289,1.0,1.0091187668224701,1.0
2,1.1521814858219157,10.829911485820471,1.034822555199615,4.11439339874952,24.593129035882907,0.05574754117911988,0.004377158664166086,1.0,1.0149634588925598,1.0
3,0.5032524000836411,6.063291653148325,1.525082068839612,2.8878394176017883,47.3649754965943,0.5035769218040329,0.004278915708662692,1.602591881554788,1.2022094145397662,1.4560791157649795
4,0.42824426861334,4.88523505306397,1.9599309443774113,2.671409288402752,12.965004517626447,0.16788412986525664,0.003342510107509003,1.0000001613453668,1.087155224819256,1.1142857142857143
5,0.9777859370272779,10.292253133525069,1.9525576762684513,2.1055516751109398,32.834389061734655,0.7270429493545504,0.00163320607130439,1.070124081692727,5.5605707104157265,3.761904761904762
6,1.4069054121163431,10.789678993147085,1.1597017168260788,7.954570671640136,10.278526046862627,0.5399263934779867,0.0034059627711614526,1.0,1.0592292369875125,1.0833333333333335
7,1.025159450173791,5.5727079893044635,0.9341794387999156,2.9009876156642305,40.78172791751432,0.7132835991558981,0.004375720120835365,1.2281011744443489,5.174176696357062,3.3784277879341866
8,0.6913184550935096,9.110574412925633,0.5517095747805394,4.147076822964203,11.33600081567474,0.06963343683831931,0.0014301154473485911,1.0,1.0141950067209295,1.0
9,0.8329697128412437,9.131848299748444,1.800772455394557,3.9793725876914294,44.621316153680716,0.23217033443283797,0.004466505558774481,1.0,1.201902746555495,1.4915254237288136
10,0.47365943698598145,8.424445411486234,1.4436474027468744,4.538019452229193,37.76256320547465,0.43236691798763766,0.003234230716655801,1.7572532865773896,3.3253405252739796,2.631441048034934
11,0.94626271349958,10.96317091438383,1.114716229899961,7.224807377600101,37.59937776563494,0.6581396745717447,0.003805002182352546,1.0659671892116107,8.225259651427432,4.916083916083917
12,0.6380555337653999,8.856792623745614,1.667639535234672,7.6301779568050865,34.541521768498974,0.5528527489602214,0.0007783343027892609,1.5044629368958224,5.12005084381664,3.310866574965612
13,0.7896731634215963,4.830271986113249,1.167044261049532,4.871985102610348,36.45662665633044,0.23824001374658532,0.0012760251412178042,1.0000000000001543,1.2028258972038988,1.4767441860465116
14,0.6794977369840426,8.828278262096472,0.7332990975648207,2.826373850491855,16.052788490396278,0.6084939962419511,0.0040857920518425316,1.0000000001843874,2.107683647329033,2.1194029850746263
15,1.313000059412041,8.394502470614343,1.421383421916178,6.096054147572286,24.919673740137696,0.10083454887013009,0.0005393098910429845,1.0,1.0248600657415872,1.0
16,0.9671171790726303,5.464021930401818,1.4408561304102645,7.849886565164727,27.295142309801207,0.4487931651836849,0.004866953318709095,1.0000000000000007,1.4132074385883175,1.9651162790697674
17,1.1354937237901384,4.352741939990587,0.6427500619699261,5.630214847739428,46.38004451303642,0.26585180743218095,0.0006660463375616288,1.0,1.1401700734077933,1.3793103448275863
18,0.5571683921931658,11.648235142094048,0.660324597580197,5.3567723414283295,40.06415619614401,0.271584653575254,0.001245183065238185,1.0000000084762084,2.6079368454945513,5.682352941176471
19,1.1354656128456189,4.08213066993204,1.9628520120487463,3.532497409470481,46.458131250784405,0.35541676170605757,0.0015352880690691283,1.000000000768146,1.2740067713222896,1.7301587301587302
20,0.7933310044277905,4.920542826726404,0.9172672169197953,4.650446180344738,29.209297073986097,0.6900411439948781,0.002855339908893077,1.18482852635302,4.498540462954991,2.9767441860465116
21,0.47892891605569055,6.797710053843271,0.7360192397403833,2.3177847505091904,16.744381362876823,0.2946321676296182,0.00151925304921664,1.0000000016768769,1.3287688528956132,1.4935897435897436
22,0.9523247643404034,9.566684747541252,0.7942743678278671,6.941259294317188,24.872843832005454,0.25684095620606345,0.0007805634792358973,1.0,1.1223106051143414,1.2142857142857142
23,0.7638783682086321,5.168867464351951,1.9461576602264468,2.0610340146003745,10.02765241019695,0.16984108777321322,0.0015168038910834715,1.0000000000636784,1.027682213029626,1.029126213592233
24,0.3383157919546853,11.479906112592385,0.9571657368746211,6.818210216502094,42.6206920269764,0.06069164223664035,0.0031076236868078965,1.0,1.0855480166469886,1.2058823529411764
25,0.8496277584536427,6.568151265895904,1.295457043624372,3.2256331574731294,12.340355161882393,0.3929122914662057,0.0007379912912734638,1.0,1.1102149502506435,1.1379310344827587
26,0.7676969624472476,6.865745959452728,1.314094999968789,7.341086494660108,17.380197729580424,0.11349968041387327,0.0026624679701417546,1.0,1.038698084288814,1.0645161290322582
27,0.5251091736852069,8.228449886287478,0.6601345118082,5.443581705889617,34.31011972183929,0.499121829721152,0.004841629813552233,1.599133227829555,3.688399919171397,2.684713375796178
28,0.3505741517694507,7.265374014392841,0.8607376203140964,5.908344098312285,40.39891737700249,0.466542153896417,0.001264386315118191,1.026842137622534,0.9244550490457799,1.0232507368191246
29,1.1094052957784581,8.06106377923945,1.9313872376573205,2.5392909125965817,49.0020541632176,0.473456279414533,1.3377937576622423e-05,1.00000123223589,2.326935371682595,4.17687074829932
30,1.4297762677678052,9.777973075662644,1.4784921818140513,3.7575062119173315,21.995373769685045,0.6882006341263955,0.004398881194085971,1.0,1.3451859836307778,1.526315789473684
31,1.2657350749667828,4.890507728539021,0.9681013885649294,3.3633380582763737,28.206908274598383,0.2135545376961812,0.0010318299275321053,1.0,1.0686494886717013,1.1363636363636365
32,0.6676436077061343,8.63282639687144,0.5534827998713376,6.765561179317826,14.342262686702,0.13747766401862416,0.0031309529214954496,1.0,1.045362676007214,1.0689655172413794
33,0.7104590206421897,5.253900182533348,1.2015037261241386,2.5836478354051584,30.743887126270497,0.49354476739058867,0.003659560123087123,1.0126546975414885,3.1359221807149322,3.1146131805157595
34,0.6955277847400225,7.654921851001628,1.191665093857494,2.5706992229300054,17.444434369853642,0.4820460328333763,0.0017661627945796572,1.0000000001446194,1.5348769973500935,1.7735849056603772
35,1.253562053190483,7.941132943630451,0.7077741489453837,2.8283103111008128,40.62380641535387,0.12621919394862735,0.0034977967938257287,1.0,1.0391008450759531,1.1111111111111112
36,0.8405405656114164,5.32061152807293,0.6788329225085576,4.7526022237546535,19.123011046415055,0.15299649582998176,0.0012797748475730263,1.0,1.0552269820369429,1.0952380952380953
37,1.1656595132537173,10.024118270352968,0.7161355727224481,5.51795783663949,12.695215337583994,0.7460810697661,0.000352923498121025,1.0,1.2376123035949202,1.3725490196078431
38,0.6606992014463109,10.238655467310682,1.0645688358265522,6.004533570694488,26.041974520480817,0.7581249805052221,0.004513340233800449,1.508053825147437,4.009420636978836,2.706959706959707
39,1.3983600501504072,6.582026565632535,1.826983532634107,2.290790748174098,46.52026013112005,0.30214556459970415,0.002565679688207093,1.0000000000000089,1.123463274648603,1.2465753424657535
40,0.4650991349339946,9.324761499669888,0.8443133251274144,6.279905065743838,47.43802441802417,0.4512590361637158,0.0011796067811062178,1.2149198681494415,1.0485855260093404,1.1934009143311468
41,1.389294187252987,6.5940139824043795,1.7539271327301564,2.538286689454444,34.65870416605972,0.10430583307456863,0.004696260888410172,1.0,1.0273028070461512,1.076923076923077
42,0.6363265627497827,11.852671943768424,1.941797389693003,7.587447870001419,46.88323205663086,0.05535742096999917,0.004306291905727162,1.0,1.0315543857492937,1.0625
43,0.51133828529482,10.899158775801816,1.4559882283814816,6.996479081912653,16.71151354094841,0.431208681952568,0.002755862158638247,1.000000000001953,2.005529557208569,2.357142857142857
44,1.0183472623244199,11.041581200426991,1.0289286167218301,6.8586051301397095,22.895225156433604,0.5026507589745601,0.0048896131483952675,1.0,1.3861544134262545,1.8333333333333335
45,0.9992005524784737,9.763158388749439,1.106566918815238,3.970165943745738,30.40917718678574,0.08454486635019119,0.003131086021941001,1.0,1.0303559454126145,1.1428571428571428
46,0.49296949790596656,6.629820986058851,1.4256382013728186,4.075471158503301,19.42185570855387,0.2790993679730411,0.00349901099223562,1.0000000011094643,1.3493730492162483,1.6083916083916086
47,1.4442101314991387,5.255331521740043,1.967467120715971,2.8560075317175437,20.456014603249592,0.6999981239196001,0.004702868376495965,1.0000000000000198,1.2887357489665194,1.413793103448276
48,0.5334227676084512,5.860052367925591,0.6516997477671429,4.023621283144377,21.674269521568434,0.613827049958912,0.003596355271747515,1.2525303147966618,3.5447378666403786,2.442857142857143
49,1.4232038357679027,9.347053453415748,1.3935906218353211,3.2800304498199866,41.65690802762125,0.05723283098154343,0.001883859065712814,1.0,1.013451978395114,1.0
50,1.457470758478687,6.693500241160044,0.9178101652740128,5.5916685744507895,22.179278295843332,0.4974079504048741,0.004726930348171792,1.0,1.1611360914345301,1.282051282051282
51,0.6070295746684986,8.473731706188058,1.617797562643176,6.1668424436086084,20.20654107213153,0.15529704477801953,0.002212056628147237,1.0,1.0911440410299627,1.1555555555555557
52,0.8349340340934781,5.354779400867208,1.733760549946485,3.3473773893492202,14.608300526130812,0.38457328546796815,0.000567042291360076,1.0000000000000373,1.1444696424958,1.2017543859649122
53,1.4506961020692963,4.50804769580921,1.2426720814114698,3.1986688474013203,45.52906174360132,0.09887782436738217,0.003710298869188488,1.0,1.0238030192884011,1.0714285714285714
54,0.3083162318282145,6.959265647841521,1.4447625354611948,7.871912243098905,24.318518308187183,0.21328070361959828,0.0021473995708844117,1.0004206206133184,1.9734928448653188,2.6160337552742616
55,1.3452748641938015,11.690632305069002,0.5752638248998128,5.665608710784302,12.491723494778766,0.403973571965878,0.0033234272309568165,1.0,1.0606805138758377,1.1111111111111112
56,0.48781291167770846,11.613850491486305,0.5794546577729998,5.553224514495689,16.613330365684924,0.7197636525261325,0.0046656018382152924,1.2119539540511186,3.14327587640255,2.2194767441860463
57,0.4617378790175577,11.175352140651025,1.6091050605807788,6.144524460208947,47.514675544204785,0.5425038033777749,0.0029245761916938174,1.1533347455320764,0.9327451199343172,1.121985374202583
58,0.5454386262897237,4.397607449031325,1.8657825642321046,2.596412620031411,20.699124689978177,0.7459871128214689,0.004681269589022543,1.5755057418739287,2.9056618045745894,2.170494699646643
59,1.486803157414021,11.110134072601458,1.037995316483753,4.128969307897602,26.692931087181478,0.44561228146008264,0.0013160041912936215,1.0,1.1604768639085274,1.2857142857142856
60,1.3441824874972244,4.981876155946328,1.5438250297141365,7.131369945284812,30.711450527005503,0.7151132287528978,0.0014197351677303332,1.000000000003303,2.0002913124475588,3.4299065420560746
61,0.7065815767141597,11.178020768320543,1.6101695648003633,4.486913305399989,11.211669977829931,0.6739313073204993,0.0042595523520625525,1.0,1.4780006112559132,1.522012578616352
62,0.6213526971810202,9.032413217973392,1.7063232454738089,7.791799494035856,19.12467171577292,0.18080735090177114,0.004323443239050677,1.0,1.102835821894744,1.1627906976744187
63,0.9105396764765152,9.329660571149224,1.5126909235967791,6.783552872153459,34.98590932640373,0.2996594570199588,0.0011700539885359602,1.0,1.2434846672547952,1.5681818181818183
64,1.4844985525772594,11.148689541033425,1.4358373394223969,7.93579354301233,16.136287271748017,0.7204405780544276,0.004884318217390995,1.0,1.2023062584903794,1.2903225806451615
65,0.8434796405514913,9.335913412584564,1.1139204495322723,2.234449421709476,26.745215629115535,0.5976335768284433,0.004312589517861318,1.0000095404638283,3.436880182947747,3.555555555555556
66,1.418214630588405,8.4830263890527,0.8155989715479723,5.308993329210502,19.53028705584357,0.5515484082735274,0.00253607113280982,1.0,1.1751079601480892,1.2857142857142856
67,0.7610871715806067,9.448568460207046,0.988592191028449,6.350751761484826,15.419334354315449,0.6570814684793327,0.00335722199743107,1.0,1.9959553306794267,2.251798561151079
68,0.48145752165804623,9.667096671473695,1.2902600957648926,4.443407199691611,19.712523152524383,0.20934466243656585,3.4503401421954736e-05,1.0000000000000002,1.2108457521210643,1.36986301369863
69,0.9320880742125903,8.764978011252449,0.5801892161384524,7.2295294865863475,28.315242522222846,0.40831920092594337,0.0014776381387268756,1.0,1.3920042454760875,1.9583333333333335
70,1.0906786592880042,5.543706059529815,1.0750788832030727,7.683921793959843,28.47444034175797,0.6222468667732517,0.0033393306235473263,1.0000000000083011,2.096571793386467,3.495412844036697
71,0.9410559390531981,9.282344223910675,1.8744728967516928,5.461190735744237,12.619222544218198,0.24819888464517914,0.003409406242023879,1.0,1.0513759678415096,1.0555555555555556
72,1.2944035221075267,10.871405570363633,1.180603571247976,7.5708589051107795,18.68457590749651,0.1899029336213715,0.0017049687197790637,1.0,1.0417022246718888,1.0714285714285714
