dt_ms,model,pattern,peak_km,auc_km_ms,peak_error_pct,auc_error_pct
0.08,Linear,Tonic,0.25,1.866769046537507,0.0,7.493594419847273e-13
0.08,Linear,Burst,0.25,1.866769046537507,0.0,7.493594419847273e-13
0.08,Michaelis-Menten,Tonic,0.25,1.9818924102703332,0.0,1.0583621298633028
0.08,Michaelis-Menten,Burst,0.25,1.9818924102703332,0.0,1.0583621298633028
0.08,Transporter-state,Tonic,0.25,1.8111759624586625,0.0,2.540656744110981
0.08,Transporter-state,Burst,0.25,2.1767934929141237,0.0,2.3104387480177935
0.04,Linear,Tonic,0.25,1.8667690465374942,0.0,5.947297158608947e-14
0.04,Linear,Burst,0.25,1.8667690465374942,0.0,5.947297158608947e-14
0.04,Michaelis-Menten,Tonic,0.25,1.9696391692646011,0.0,0.4335590576052782
0.04,Michaelis-Menten,Burst,0.25,1.9696391692646011,0.0,0.4335590576052782
0.04,Transporter-state,Tonic,0.25,1.8402377111979438,0.0,0.9768446106100898
0.04,Transporter-state,Burst,0.25,2.2081750612740945,0.0,0.9021050432066078
0.02,Linear,Tonic,0.25,1.8667690465374907,0.0,1.3084053748939683e-13
0.02,Linear,Burst,0.25,1.8667690465374907,0.0,1.3084053748939683e-13
0.02,Michaelis-Menten,Tonic,0.25,1.9639091742525672,0.0,0.1413817890877332
0.02,Michaelis-Menten,Burst,0.25,1.9639091742525672,0.0,0.1413817890877332
0.02,Transporter-state,Tonic,0.25,1.8526104814522804,0.0,0.31106608426154125
0.02,Transporter-state,Burst,0.25,2.221838049926361,0.0,0.2889410608741015
0.01,Linear,Tonic,0.25,1.866769046537493,0.0,0.0
0.01,Linear,Burst,0.25,1.866769046537493,0.0,0.0
0.01,Michaelis-Menten,Tonic,0.25,1.9611364844044639,0.0,0.0
0.01,Michaelis-Menten,Burst,0.25,1.9611364844044639,0.0,0.0
0.01,Transporter-state,Tonic,0.25,1.8583913065197282,0.0,0.0
0.01,Transporter-state,Burst,0.25,2.228276455556253,0.0,0.0
